League,GameTime,Teams,History
MLB,2025-06-02T23:41:00.000Z,Detroit Tigers Chicago White Sox,[6/2/2025 11:59:01 AM] Moneyline: -215 | Spread: -1.5 | SpreadOdds: -137 | Total: O 8.5 | TotalOdds: +102; [6/2/2025 12:00:06 PM] Moneyline: -215 | Spread: -1.5 | SpreadOdds: -137 | Total: O 8.5 | TotalOdds: +102; [6/2/2025 12:02:01 PM] Moneyline: -215 | Spread: -1.5 | SpreadOdds: -137 | Total: O 8.5 | TotalOdds: +102; [6/2/2025 12:05:05 PM] Moneyline: -215 | Spread: -1.5 | SpreadOdds: -137 | Total: O 8.5 | TotalOdds: +102; [6/2/2025 12:10:05 PM] Moneyline: -215 | Spread: -1.5 | SpreadOdds: -137 | Total: O 8.5 | TotalOdds: +102; [6/2/2025 4:09:56 PM] Moneyline: -225 | Spread: -1.5 | SpreadOdds: -140 | Total: O 8.5 | TotalOdds: -112; [6/2/2025 4:41:47 PM] Moneyline: -230 | Spread: -1.5 | SpreadOdds: -140 | Total: O 8.5 | TotalOdds: -112;
MLB,2025-06-03T01:46:00.000Z,San Diego Padres San Francisco Giants,[6/2/2025 11:59:01 AM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -146 | Total: O 7.5 | TotalOdds: -102; [6/2/2025 12:00:06 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -146 | Total: O 7.5 | TotalOdds: -102; [6/2/2025 12:02:01 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -146 | Total: O 7.5 | TotalOdds: -102; [6/2/2025 12:05:05 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -146 | Total: O 7.5 | TotalOdds: -102; [6/2/2025 12:10:05 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -146 | Total: O 7.5 | TotalOdds: -102; [6/2/2025 4:09:56 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -152 | Total: O 7.5 | TotalOdds: -102; [6/2/2025 4:41:47 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -154 | Total: O 7.5 | TotalOdds: -102;
MLB,2025-06-03T02:06:00.000Z,Minnesota Twins Athletics,[6/2/2025 11:59:01 AM] Moneyline: -162 | Spread: -1.5 | SpreadOdds: +100 | Total: O 9.5 | TotalOdds: +100; [6/2/2025 12:00:06 PM] Moneyline: -162 | Spread: -1.5 | SpreadOdds: +100 | Total: O 9.5 | TotalOdds: +100; [6/2/2025 12:02:01 PM] Moneyline: -162 | Spread: -1.5 | SpreadOdds: +100 | Total: O 9.5 | TotalOdds: +100; [6/2/2025 12:05:05 PM] Moneyline: -162 | Spread: -1.5 | SpreadOdds: +104 | Total: O 9.5 | TotalOdds: +100; [6/2/2025 12:10:05 PM] Moneyline: -162 | Spread: -1.5 | SpreadOdds: +104 | Total: O 9.5 | TotalOdds: +100; [6/2/2025 4:09:56 PM] Moneyline: -162 | Spread: -1.5 | SpreadOdds: -105 | Total: O 9.5 | TotalOdds: -110; [6/2/2025 4:41:47 PM] Moneyline: -168 | Spread: -1.5 | SpreadOdds: -113 | Total: O 9.5 | TotalOdds: -110;
MLB,2025-06-03T02:11:00.000Z,New York Mets Los Angeles Dodgers,[6/2/2025 11:59:01 AM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -146 | Total: O 9 | TotalOdds: -122; [6/2/2025 12:00:06 PM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -146 | Total: O 9 | TotalOdds: -122; [6/2/2025 12:02:01 PM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -146 | Total: O 9 | TotalOdds: -122; [6/2/2025 12:05:05 PM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -146 | Total: O 9 | TotalOdds: -122; [6/2/2025 12:10:05 PM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -146 | Total: O 9 | TotalOdds: -122; [6/2/2025 4:09:56 PM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -142 | Total: O 9.5 | TotalOdds: -104; [6/2/2025 4:41:47 PM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -142 | Total: O 9.5 | TotalOdds: -104;
MLB,2025-06-03T22:41:00.000Z,Colorado Rockies Miami Marlins,[6/2/2025 4:41:47 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -146 | Total: O 8.5 | TotalOdds: -110; [6/3/2025 1:41:59 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -144 | Total: O 8 | TotalOdds: -115; [6/3/2025 3:18:28 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -142 | Total: O 8.5 | TotalOdds: -102; [6/3/2025 3:25:14 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -142 | Total: O 8.5 | TotalOdds: -102; [6/3/2025 3:27:39 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -142 | Total: O 8.5 | TotalOdds: -108;
MLB,2025-06-03T22:41:00.000Z,Houston Astros Pittsburgh Pirates,[6/2/2025 4:09:56 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -170 | Total: O 7.5 | TotalOdds: -104; [6/2/2025 4:41:47 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -170 | Total: O 7.5 | TotalOdds: -104; [6/3/2025 1:41:59 PM] Moneyline: +132 | Spread: +1.5 | SpreadOdds: -164 | Total: O 7 | TotalOdds: -118; [6/3/2025 3:18:28 PM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -160 | Total: O 7 | TotalOdds: -106; [6/3/2025 3:25:14 PM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -160 | Total: O 7 | TotalOdds: -106; [6/3/2025 3:27:39 PM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -160 | Total: O 7 | TotalOdds: -106;
MLB,2025-06-03T22:46:00.000Z,Chicago Cubs Washington Nationals,[6/2/2025 4:09:56 PM] Moneyline: -142 | Spread: -1.5 | SpreadOdds: +112 | Total: O 9.5 | TotalOdds: -104; [6/2/2025 4:41:47 PM] Moneyline: -142 | Spread: -1.5 | SpreadOdds: +112 | Total: O 9.5 | TotalOdds: -104; [6/3/2025 1:41:59 PM] Moneyline: -154 | Spread: -1.5 | SpreadOdds: +105 | Total: O 9.5 | TotalOdds: +100; [6/3/2025 3:18:28 PM] Moneyline: -154 | Spread: -1.5 | SpreadOdds: +104 | Total: O 9.5 | TotalOdds: -104; [6/3/2025 3:25:14 PM] Moneyline: -154 | Spread: -1.5 | SpreadOdds: +104 | Total: O 9.5 | TotalOdds: -104; [6/3/2025 3:27:39 PM] Moneyline: -154 | Spread: -1.5 | SpreadOdds: +104 | Total: O 9.5 | TotalOdds: -104;
MLB,2025-06-03T23:06:00.000Z,Cleveland Guardians New York Yankees,[6/2/2025 4:09:56 PM] Moneyline: +152 | Spread: +1.5 | SpreadOdds: -137 | Total: O 8 | TotalOdds: -118; [6/2/2025 4:41:47 PM] Moneyline: +160 | Spread: +1.5 | SpreadOdds: -128 | Total: O 8 | TotalOdds: -118; [6/3/2025 1:41:59 PM] Moneyline: +168 | Spread: +1.5 | SpreadOdds: -126 | Total: O 8 | TotalOdds: -102; [6/3/2025 3:18:28 PM] Moneyline: +168 | Spread: +1.5 | SpreadOdds: -125 | Total: O 8 | TotalOdds: -102; [6/3/2025 3:25:14 PM] Moneyline: +168 | Spread: +1.5 | SpreadOdds: -125 | Total: O 8 | TotalOdds: -102; [6/3/2025 3:27:39 PM] Moneyline: +168 | Spread: +1.5 | SpreadOdds: -125 | Total: O 8 | TotalOdds: -102;
MLB,2025-06-03T23:08:00.000Z,Philadelphia Phillies Toronto Blue Jays,[6/2/2025 4:09:56 PM] Moneyline: -158 | Spread: -1.5 | SpreadOdds: +108 | Total: O 8.5 | TotalOdds: -110; [6/2/2025 4:41:47 PM] Moneyline: -158 | Spread: -1.5 | SpreadOdds: +108 | Total: O 8.5 | TotalOdds: -110; [6/3/2025 1:41:59 PM] Moneyline: -136 | Spread: -1.5 | SpreadOdds: +118 | Total: O 9 | TotalOdds: +100; [6/3/2025 3:18:28 PM] Moneyline: -138 | Spread: -1.5 | SpreadOdds: +118 | Total: O 9 | TotalOdds: +100; [6/3/2025 3:25:14 PM] Moneyline: -138 | Spread: -1.5 | SpreadOdds: +118 | Total: O 9 | TotalOdds: +100; [6/3/2025 3:27:39 PM] Moneyline: -138 | Spread: -1.5 | SpreadOdds: +118 | Total: O 9 | TotalOdds: +100;
MLB,2025-06-03T23:11:00.000Z,Los Angeles Angels Boston Red Sox,[6/2/2025 4:09:56 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -176 | Total: O 9.5 | TotalOdds: -104; [6/2/2025 4:41:47 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -176 | Total: O 9.5 | TotalOdds: -104; [6/3/2025 1:41:59 PM] Moneyline: +112 | Spread: +1.5 | SpreadOdds: -182 | Total: O 9.5 | TotalOdds: +100; [6/3/2025 3:18:28 PM] Moneyline: +112 | Spread: +1.5 | SpreadOdds: -178 | Total: O 9.5 | TotalOdds: +100; [6/3/2025 3:25:14 PM] Moneyline: +112 | Spread: +1.5 | SpreadOdds: -178 | Total: O 9.5 | TotalOdds: +100; [6/3/2025 3:27:39 PM] Moneyline: +112 | Spread: +1.5 | SpreadOdds: -178 | Total: O 9.5 | TotalOdds: +100;
