Teams,Spread,SpreadOdds,Moneyline,Total,TotalOdds
Oklahoma City ThunderMinnesota Timberwolves,-2.5,-110,-142,O 218,-110
More wagers,-2.5,-110,-142,O 218,-110
New York KnicksIndiana Pacers,+2,-114,+110,O 223,-110
More wagers,+2,-114,+110,O 223,-110
